date,total_pnl,n_trades,total_volume,sentiment_value,classification,sentiment_value_lag1
2024-07-02,2421.253116,18,33347.47,51.0,Neutral,53.0
2024-07-03,1118.387284,18,179600.66,50.0,Neutral,51.0
2024-07-04,0.0,25,430568.01,44.0,Fear,50.0
2024-07-05,0.0,32,272289.89,29.0,Fear,44.0
2024-07-06,108.87217799999999,24,2490.17,26.0,Fear,29.0
2024-07-07,61.428942,10,498.75,29.0,Fear,26.0
2024-07-08,0.0,1,497.64,28.0,Fear,29.0
2024-07-09,648.984412,15,2736.45,27.0,Fear,28.0
2024-07-10,11977.734907,56,687900.21,28.0,Fear,27.0
2024-07-11,1876.812082,19,169887.02,29.0,Fear,28.0
2024-07-12,1412.314654,19,89582.97,25.0,Fear,29.0
2024-07-13,2913.617837,17,139189.19,25.0,Fear,25.0
2024-07-14,0.0,7,84001.13,33.0,Fear,25.0
2024-07-15,-1.0,26,198344.85,52.0,Neutral,33.0
2024-07-16,0.0,22,144000.57,65.0,Greed,52.0
2024-07-17,1859.269477,351,626005.53,69.0,Greed,65.0
2024-07-18,3803.884311,60,649704.85,61.0,Greed,69.0
2024-07-19,2155.891114,23,150269.42,60.0,Greed,61.0
2024-07-20,2299.169566,266,244362.21,74.0,Greed,60.0
2024-07-21,-2960.716887,448,234307.46,74.0,Greed,74.0
2024-07-22,1517.119876,154,304213.8,70.0,Greed,74.0
2024-07-23,89890.302206,370,358526.54,71.0,Greed,70.0
2024-07-24,625.561479,90,69207.93,69.0,Greed,71.0
2024-07-25,916.7382600000001,78,528555.31,68.0,Greed,69.0
2024-07-26,2766.513113,152,548587.65,68.0,Greed,68.0
2024-07-27,6400.623656,57,905199.75,72.0,Greed,68.0
2024-07-28,587.29903,16,43254.68,71.0,Greed,72.0
2024-07-29,330.80445399999996,39,327199.14,74.0,Greed,71.0
2024-07-30,0.0,6,36006.47,67.0,Greed,74.0
2024-07-31,765.690884,43,84506.54,61.0,Greed,67.0
2024-08-01,167.080017,57,227774.53,52.0,Neutral,61.0
2024-08-02,782.3681909999999,63,396320.37,57.0,Greed,52.0
2024-08-03,464.1897,37,290532.86,37.0,Fear,57.0
2024-08-04,-122672.000883,127,1207744.07,34.0,Fear,37.0
2024-08-05,-13013.665169,80,420495.4,26.0,Fear,34.0
2024-08-06,267.318048,107,61478.38,17.0,Extreme Fear,26.0
2024-08-07,188.789255,33,2492.77,29.0,Fear,17.0
2024-08-08,-40.712216999999995,9,16299.35,20.0,Extreme Fear,29.0
2024-08-09,18082.071276,144,503204.86,48.0,Neutral,20.0
2024-08-10,0.0,88,11339.29,40.0,Fear,48.0
2024-08-11,847.7766200000001,24,44230.21,39.0,Fear,40.0
2024-08-12,858.6705000000001,48,54167.32,25.0,Fear,39.0
2024-08-13,212.08102,23,20797.87,31.0,Fear,25.0
2024-08-14,2168.9015130000003,25,66710.03,30.0,Fear,31.0
2024-08-15,0.0,12,1522.3700000000001,29.0,Fear,30.0
2024-08-16,825.230544,35,166382.84,27.0,Fear,29.0
2024-08-17,-288.283113,30,30248.96,25.0,Fear,27.0
2024-08-18,307.201888,15,62804.48,31.0,Fear,25.0
2024-08-19,339.69958299999996,8,100315.03,28.0,Fear,31.0
2024-08-20,192.602844,12,49914.8,30.0,Fear,28.0
2024-08-21,656.200925,145,104990.41,26.0,Fear,30.0
2024-08-23,1005.30527,10,63509.56,34.0,Fear,26.0
2024-08-24,0.0,7,34999.67,56.0,Greed,34.0
2024-08-25,0.0,17,21950.28,54.0,Neutral,56.0
2024-08-26,231.236918,6,92611.27,55.0,Greed,54.0
2024-08-27,0.0,50,70250.16,48.0,Neutral,55.0
2024-08-28,1333.359645,9,71160.06999999999,30.0,Fear,48.0
2024-08-29,0.0,1,9995.85,29.0,Fear,30.0
2024-08-30,256.464,6,37233.24,34.0,Fear,29.0
2024-08-31,10.882801,34,107507.43000000001,29.0,Fear,34.0
2024-09-01,137.433093,12,12359.68,26.0,Fear,29.0
2024-09-02,0.0,2,30000.42,26.0,Fear,26.0
2024-09-04,1065.785132,34,131480.97,27.0,Fear,26.0
2024-09-05,0.0,1,0.84,29.0,Fear,27.0
2024-09-06,-1104.856765,42,39047.1,22.0,Extreme Fear,29.0
2024-09-08,0.0,1,0.11,29.0,Fear,22.0
2024-09-09,0.0,2,4014.4300000000003,26.0,Fear,29.0
2024-09-10,-219.729659,3,2547.28,33.0,Fear,26.0
2024-09-11,0.0,1,0.54,37.0,Fear,33.0
2024-09-14,0.0,11,1014.8000000000001,50.0,Neutral,37.0
2024-09-18,-878.684794,145,13633.5,45.0,Neutral,50.0
2024-09-19,0.0,19,1521.8700000000001,49.0,Neutral,45.0
2024-09-20,9585.03428,16,332873.38,54.0,Neutral,49.0
2024-09-21,36165.56933,23,165648.12,54.0,Neutral,54.0
2024-09-22,0.0,3,19999.739999999998,52.0,Neutral,54.0
2024-09-23,334.760796,2,40334.29,50.0,Neutral,52.0
2024-09-24,0.0,10,7118.63,54.0,Neutral,50.0
2024-09-25,0.0,9,52754.130000000005,59.0,Greed,54.0
2024-09-26,439.812513,8,113711.93000000001,50.0,Neutral,59.0
2024-09-27,0.0,56,126097.04,61.0,Greed,50.0
2024-09-28,0.0,4,29199.21,64.0,Greed,61.0
2024-09-30,2710.626288,106,214669.85,61.0,Greed,64.0
2024-10-01,0.0,4,139954.32,50.0,Neutral,61.0
2024-10-02,0.0,4,99954.34,42.0,Fear,50.0
2024-10-03,100.375782,9,132935.69,37.0,Fear,42.0
2024-10-04,0.0,1,0.34,41.0,Fear,37.0
2024-10-05,5767.161892,37,605605.74,49.0,Neutral,41.0
2024-10-06,130.487079,22,300130.56,50.0,Neutral,49.0
2024-10-07,0.0,21,219984.65,50.0,Neutral,50.0
2024-10-08,5396.546638,36,434584.13,49.0,Neutral,50.0
2024-10-09,396.06272,14,220399.93,49.0,Neutral,49.0
2024-10-10,0.0,16,300024.33999999997,39.0,Fear,49.0
2024-10-11,8885.327477,26,488904.19,32.0,Fear,39.0
2024-10-12,541.55471,10,159713.4,49.0,Neutral,32.0
2024-10-13,0.0,10,60002.42,50.0,Neutral,49.0
2024-10-14,1913.61958,5,61916.020000000004,48.0,Neutral,50.0
2024-10-15,1170.2260760000001,7,81173.36,65.0,Greed,48.0
2024-10-16,219.480876,11,80229.17,73.0,Greed,65.0
2024-10-17,36.11496,9,140531.75,71.0,Greed,73.0
2024-10-18,333.219141,6,120331.43000000001,73.0,Greed,71.0
2024-10-19,0.0,4,99996.86,72.0,Greed,73.0
2024-10-20,389.155797,96,176447.86000000002,73.0,Greed,72.0
2024-10-21,2464.915564,173,324117.99,72.0,Greed,73.0
2024-10-22,0.0,3,60000.36,70.0,Greed,72.0
2024-10-23,-46.489941,18,210006.07,71.0,Greed,70.0
2024-10-25,13235.862071,30,427883.18,72.0,Greed,71.0
2024-10-26,42471.99413,6,88668.86,,,72.0
2024-10-27,666.6623079999999,4,90664.41,74.0,Greed,
2024-10-28,167.28016200000002,13,121495.25,72.0,Greed,74.0
2024-10-29,801.170876,53,613267.8099999999,72.0,Greed,72.0
2024-10-30,9.150023,25,11830.85,77.0,Extreme Greed,72.0
2024-10-31,1214.043811,48,896173.36,77.0,Extreme Greed,77.0
2024-11-01,1040.475736,23,260981.03,75.0,Extreme Greed,77.0
2024-11-02,0.0,2,40000.0,72.0,Greed,75.0
2024-11-03,0.0,6,129055.66,74.0,Greed,72.0
2024-11-04,2799.410474,36,451811.97,70.0,Greed,74.0
2024-11-05,678.4759280000001,10,200627.23,70.0,Greed,70.0
2024-11-06,2817.83723,15,123906.9,70.0,Greed,70.0
2024-11-07,4493.353136,113,111335.3,77.0,Extreme Greed,70.0
2024-11-08,-64.41354100000007,39,270700.44,75.0,Extreme Greed,77.0
2024-11-09,102.90894,86,193384.41,75.0,Extreme Greed,75.0
2024-11-10,991.114334,173,413636.7,78.0,Extreme Greed,75.0
2024-11-11,6749.630996,373,1570572.42,76.0,Extreme Greed,78.0
2024-11-12,3494.399394,171,1226354.52,80.0,Extreme Greed,76.0
2024-11-13,7846.402274,48,515336.37,84.0,Extreme Greed,80.0
2024-11-14,4563.509225,110,1008361.81,88.0,Extreme Greed,84.0
2024-11-15,4140.740438,149,1427858.42,80.0,Extreme Greed,88.0
2024-11-16,2769.521909,157,303296.07,86.0,Extreme Greed,80.0
2024-11-17,882.975285,209,1215987.57,90.0,Extreme Greed,86.0
2024-11-18,4470.815187,346,2084339.58,83.0,Extreme Greed,90.0
2024-11-19,2958.268991,305,628031.15,90.0,Extreme Greed,83.0
2024-11-20,4210.0928969999995,550,1999514.1199999999,83.0,Extreme Greed,90.0
2024-11-21,1692.430891,535,598300.62,82.0,Extreme Greed,83.0
2024-11-22,-18105.345617,679,1646713.62,94.0,Extreme Greed,82.0
2024-11-23,2901.531638,363,516245.68,93.0,Extreme Greed,94.0
2024-11-24,945.550386,172,664952.28,80.0,Extreme Greed,93.0
2024-11-25,5523.740734,255,937410.87,82.0,Extreme Greed,80.0
2024-11-26,1094.809359,302,1146902.44,79.0,Extreme Greed,82.0
2024-11-27,-2654.495633,213,1444242.53,75.0,Extreme Greed,79.0
2024-11-28,-127075.39958499999,332,1894225.15,77.0,Extreme Greed,75.0
2024-11-29,176844.994152,393,794262.91,78.0,Extreme Greed,77.0
2024-11-30,37316.69352,373,1732193.7,84.0,Extreme Greed,78.0
2024-12-01,40886.364494,416,814711.82,81.0,Extreme Greed,84.0
2024-12-02,18489.604313,270,585243.56,80.0,Extreme Greed,81.0
2024-12-03,23576.539285,374,1084666.53,76.0,Extreme Greed,80.0
2024-12-04,292891.815021,319,769287.65,78.0,Extreme Greed,76.0
2024-12-05,71574.11848800001,456,1256750.79,84.0,Extreme Greed,78.0
2024-12-06,-92624.643895,403,3471019.22,72.0,Greed,84.0
2024-12-07,85906.279067,304,451733.42,75.0,Extreme Greed,72.0
2024-12-08,15965.933436,420,932939.72,79.0,Extreme Greed,75.0
2024-12-09,6310.967676,539,983949.68,78.0,Extreme Greed,79.0
2024-12-10,39325.770231,1596,3150424.08,78.0,Extreme Greed,78.0
2024-12-11,319051.554217,1221,2194098.33,74.0,Greed,78.0
2024-12-12,599151.795008,1932,4557189.87,83.0,Extreme Greed,74.0
2024-12-13,31935.901745,1173,2880824.64,76.0,Extreme Greed,83.0
2024-12-14,167801.399244,1235,2369561.78,83.0,Extreme Greed,76.0
2024-12-15,97525.315279,1697,2583269.81,80.0,Extreme Greed,83.0
2024-12-16,166774.344133,1055,2740808.97,83.0,Extreme Greed,80.0
2024-12-17,219591.305172,1941,5233597.63,87.0,Extreme Greed,83.0
2024-12-18,13682.994673,1429,3798887.07,81.0,Extreme Greed,87.0
2024-12-19,62744.004486000005,3339,8241709.39,75.0,Extreme Greed,81.0
2024-12-20,254969.660039,2488,7681274.71,74.0,Greed,75.0
2024-12-21,150022.163157,1681,4382875.12,73.0,Greed,74.0
2024-12-22,352197.163973,774,3087320.22,73.0,Greed,73.0
2024-12-23,-29430.626577,2347,6771878.26,70.0,Greed,73.0
2024-12-24,14813.780116,338,1767036.11,73.0,Greed,70.0
2024-12-25,756.6570469999998,208,347889.35,73.0,Greed,73.0
2024-12-26,60228.639722,697,2205242.65,79.0,Extreme Greed,73.0
2024-12-27,2672.811035,260,347913.0,74.0,Greed,79.0
2024-12-28,940.673623,161,281555.01,72.0,Greed,74.0
2024-12-29,2884.067927,201,344628.54,73.0,Greed,72.0
2024-12-30,9009.738137,304,1073865.73,65.0,Greed,73.0
2024-12-31,5445.01281,306,877164.62,64.0,Greed,65.0
2025-01-01,-9528.065345,96,282582.1,66.0,Greed,64.0
2025-01-02,8716.519087,361,774674.84,70.0,Greed,66.0
2025-01-03,6028.486793,508,771208.99,74.0,Greed,70.0
2025-01-04,2553.537968,371,1826029.6199999999,73.0,Greed,74.0
2025-01-05,3187.719363,239,451943.57,72.0,Greed,73.0
2025-01-06,6064.185393,573,556526.99,76.0,Extreme Greed,72.0
2025-01-07,16098.227531,637,1313178.1,78.0,Extreme Greed,76.0
2025-01-08,130117.090554,1039,3177275.18,70.0,Greed,78.0
2025-01-09,46975.928902,522,1020733.25,69.0,Greed,70.0
2025-01-10,-10116.875552,819,6547449.68,50.0,Neutral,69.0
2025-01-11,2269.080536,283,1658098.71,69.0,Greed,50.0
2025-01-12,5742.241803,602,2258459.17,62.0,Greed,69.0
2025-01-13,9655.429352,408,2936648.0100000002,61.0,Greed,62.0
2025-01-14,16069.512355,275,876581.97,63.0,Greed,61.0
2025-01-15,14819.5883,267,1801599.8900000001,70.0,Greed,63.0
2025-01-16,20807.709328,371,3049692.96,75.0,Extreme Greed,70.0
2025-01-17,7006.415608,238,1110230.46,75.0,Extreme Greed,75.0
2025-01-18,443.2330819999997,651,2711629.88,77.0,Extreme Greed,75.0
2025-01-19,87923.799302,1567,9715215.3,77.0,Extreme Greed,77.0
2025-01-20,87277.239173,1315,8287327.01,76.0,Extreme Greed,77.0
2025-01-21,11077.839421,530,1523729.82,76.0,Extreme Greed,76.0
2025-01-22,20524.408057,832,1778406.43,84.0,Extreme Greed,76.0
2025-01-23,101256.24216,1218,3697028.66,75.0,Extreme Greed,84.0
2025-01-24,10602.779738,874,1611433.45,75.0,Extreme Greed,75.0
2025-01-25,-10348.016255999999,506,1239377.7,75.0,Extreme Greed,75.0
2025-01-26,40823.466668,451,1201173.66,73.0,Greed,75.0
2025-01-27,41331.765392,773,1508028.31,71.0,Greed,73.0
2025-01-28,17979.613973,498,579412.17,72.0,Greed,71.0
2025-01-29,23421.01147,910,1897513.41,72.0,Greed,72.0
2025-01-30,23097.471385,1067,3014397.17,70.0,Greed,72.0
2025-01-31,35868.296773,1016,2783411.48,76.0,Extreme Greed,70.0
2025-02-01,32300.205017,634,1363746.44,68.0,Greed,76.0
2025-02-02,162854.759623,1319,5661092.29,60.0,Greed,68.0
2025-02-03,348871.326269,2380,22592901.37,44.0,Fear,60.0
2025-02-04,416876.88812,2512,15678409.27,72.0,Greed,44.0
2025-02-05,56706.235562,1297,8743231.51,54.0,Neutral,72.0
2025-02-06,33803.799733,1703,2818508.87,49.0,Neutral,54.0
2025-02-07,22450.002091,1524,3460263.54,44.0,Fear,49.0
2025-02-08,586.703253,575,839734.97,44.0,Fear,44.0
2025-02-09,150551.829492,764,2920919.7,46.0,Neutral,44.0
2025-02-10,63908.49465,889,3624958.44,43.0,Fear,46.0
2025-02-11,-6093.784817,848,2797544.17,47.0,Neutral,43.0
2025-02-12,19848.635032,1031,4143974.54,46.0,Neutral,47.0
2025-02-13,27829.534238,1370,3199852.21,50.0,Neutral,46.0
2025-02-14,213860.675308,1655,4007103.42,48.0,Neutral,50.0
2025-02-15,45042.92701,932,1712852.95,50.0,Neutral,48.0
2025-02-16,2369.478425,681,806177.64,54.0,Neutral,50.0
2025-02-17,1818.573295,941,2031044.64,51.0,Neutral,54.0
2025-02-18,91204.672403,1676,3371128.68,47.0,Neutral,51.0
2025-02-19,14985.794701,1361,3263930.24,44.0,Fear,47.0
2025-02-20,46008.794102,2012,4628609.29,49.0,Neutral,44.0
2025-02-21,119693.49395,1873,3972159.88,55.0,Greed,49.0
2025-02-22,25278.704178,686,3175570.2,49.0,Neutral,55.0
2025-02-23,10656.934251,520,1141310.74,50.0,Neutral,49.0
